250754,physics
119973,"[('Quantum field theory', 1)]"
6856,"[('Quantum field theory', 2), ('Gauge theory', 1)]"
35926,physics
273128,"[('Electromagnetic radiation', 1)]"
171623,physics
126291,"[('gas', 4), ('Fluid dynamics', 3)]"
190819,"[('Gauge theory', 1), ('Cosmic inflation', 1)]"
156194,"[('Electrical conduction', 1)]"
89362,"[('Quantum electrodynamics', 1), ('Quantum field theory', 1)]"
62938,"[('Atom', 2), ('Standard Model', 2)]"
102526,"[('Optics', 2), ('Polarization (waves)', 2)]"
261757,"[('Gauge theory', 1), ('Brane', 1)]"
191006,"[('Elementary particle', 1), ('Standard Model', 1)]"
199524,"[('Quantum electrodynamics', 3), ('Condensed matter physics', 2)]"
24562,physics
87774,"[('Photon', 2), ('Spontaneous symmetry breaking', 2)]"
223645,"[('Black hole', 2), ('Gravitational radiation', 1)]"
191059,"[('Photon', 3), ('Electromagnetic radiation', 3)]"
259045,"[('Planet', 2), ('Gravitational radiation', 1)]"
217260,"[('Quantum field theory', 4), ('Quantum electrodynamics', 3)]"
274616,"[('Elementary particle', 1), ('Optics', 1)]"
218664,physics
177082,"[('Condensed matter physics', 2), ('Bloch wave', 2)]"
105246,"[('Star', 1), ('Galaxy', 1)]"
34179,"[('Casimir effect', 1)]"
225886,"[('Supersymmetry', 2), ('M-theory', 2)]"
235303,"[('Gravitational radiation', 3), ('Astronomy', 2)]"
123167,"[('Gauge theory', 3), ('Electroweak theory', 3)]"
213191,physics
163259,"[('Gravitational radiation', 1), ('Cosmic inflation', 1)]"
237676,physics
33867,physics
218889,physics
235158,"[('Gauge theory', 1), ('Condensed matter physics', 1)]"
241422,"[('Quantum gravity', 4), ('Gauge theory', 2)]"
150298,"[('Gauge theory', 3), ('General relativity', 3)]"
240799,physics
117352,physics
148239,physics
199408,"[('Diffraction', 1), ('Quantum field theory', 1)]"
87531,"[('Quantum field theory', 5), ('Quantum chromodynamics', 4)]"
202578,physics
261106,"[('solid', 1), ('Diffraction', 1)]"
83960,physics
183021,"[('Elementary particle', 2), ('Standard Model', 2)]"
235117,"[('Fluid dynamics', 2), ('Polarization (waves)', 1)]"
137856,"[('Gravitational singularity', 2), ('Magnetism', 2)]"
154121,"[('Electromagnetic radiation', 1), ('Gravitational radiation', 1)]"
175050,"[('Gauge theory', 1), ('Plasma physics', 1)]"
86856,"[('Vacuum energy', 1), ('electromagnetic', 1)]"
154675,"[('Gauge theory', 1), ('Brane', 1)]"
61920,"[('Supersymmetry', 4), ('Grand unification theory', 4)]"
247274,"[('Polarization (waves)', 2), ('Gauge theory', 1)]"
248430,physics
251299,"[('Gravitational radiation', 2), ('Star', 2)]"
274958,physics
107059,physics
180852,"[('Self-organization', 1), ('Solar System', 1)]"
83148,physics
48469,"[('Density functional theory', 2), ('Quantum field theory', 2)]"
70770,"[('superconductor', 3), ('Astronomy', 3)]"
195156,"[('Self-organization', 1), ('Quantum electrodynamics', 1)]"
22138,"[('Elementary particle', 1), ('Gauge theory', 1)]"
165960,physics
189332,physics
45203,"[('Photon', 3), ('Spontaneous symmetry breaking', 3)]"
33015,"[('M-theory', 2), ('Theory of everything', 2)]"
173687,"[('Optics', 1), ('Brane', 1)]"
114051,"[('Magnetohydrodynamics', 1), ('Cosmic inflation', 1)]"
229757,"[('Standard Model', 1), ('Universe', 1)]"
206614,"[('gas', 3), ('Fluid dynamics', 2)]"
212496,"[('Fermi liquid', 1), ('Diffraction', 1)]"
277509,"[('Quantum field theory', 3), ('Gravitational radiation', 2)]"
139614,"[('Universe', 2), ('Gauge theory', 1)]"
129068,"[('Cosmic inflation', 2), ('Big Bang', 2)]"
240227,"[('Cosmic inflation', 1), ('Gravitational radiation', 1)]"
263727,"[('Self-organization', 1), ('Theory of everything', 1)]"
264685,physics
154105,"[('Polarization (waves)', 1), ('Quantum chromodynamics', 1)]"
253346,"[('Quantum electrodynamics', 1), ('Gravitational radiation', 1)]"
59309,physics
227696,physics
197393,"[('Photon', 2), ('Gauge theory', 1)]"
