1,physics
100013,"[('Diffraction', 2), ('gas', 1)]"
10002,physics
100031,"[('General relativity', 1), ('Gravity', 1)]"
100037,"[('Nuclear astrophysics', 1), ('Condensed matter physics', 1)]"
100041,"[('Quantum field theory', 3), ('Standard Model', 3)]"
100044,"[('Plasma physics', 1), ('Photovoltaics', 1)]"
100048,"[('Quantum gravity', 1), ('Gauge theory', 1)]"
100058,physics
100064,"[('Casimir effect', 3), ('Atomic, molecular, and optical physics', 2)]"
100073,"[('electromagnetic', 1), ('Fundamental force', 1)]"
10008,"[('Plasma physics', 1), ('Optics', 1)]"
100084,"[('Nuclear astrophysics', 1), ('Cosmic inflation', 1)]"
100088,physics
100089,physics
100098,"[('Quantum chromodynamics', 5), ('Quantum field theory', 4)]"
100099,physics
100119,"[('Electroweak theory', 3), ('Supernova', 3)]"
100133,"[('Quantum field theory', 7), ('Gauge theory', 4)]"
100141,physics
100142,physics
10015,"[('Planet', 1), ('Astronomy', 1)]"
100154,"[('Quantum field theory', 2), ('Astronomy', 2)]"
100161,"[('General relativity', 1), ('Laser', 1)]"
100169,"[('Magnetism', 1), ('Solar System', 1)]"
10018,physics
10019,physics
100217,"[('General relativity', 1), ('Quantum gravity', 1)]"
100219,"[('Quantum field theory', 3)]"
100230,"[('Diffraction', 1), ('gas', 1)]"
100236,"[('Geophysics', 2), ('Molecule', 1)]"
10024,"[('Magnetism', 3), ('electromagnetic', 2)]"
100249,"[('M-theory', 3), ('Quantum chromodynamics', 2)]"
100251,"[('Quantum field theory', 6), ('Cosmic inflation', 4)]"
100264,"[('Electromagnetic radiation', 4), ('Gravitational radiation', 3)]"
100269,"[('Gravitational radiation', 1), ('Superstring theory', 1)]"
10027,"[('Low-temperature physics', 1), ('Agrophysics', 1)]"
100276,"[('Plasma physics', 3), ('Fluid dynamics', 2)]"
100287,"[('Self-organization', 1), ('Cosmic background radiation', 1)]"
100303,"[('Bose-Einstein condensate', 2), ('Condensed matter physics', 1)]"
100309,"[('Bose-Einstein condensate', 1), ('Phonon', 1)]"
100311,"[('Electromagnetic radiation', 1), ('gas', 1)]"
100317,"[('Optics', 2), ('General relativity', 1)]"
100329,physics
100331,physics
100340,physics
100345,"[('General relativity', 1), ('Fundamental force', 1)]"
100352,"[('Quantum chromodynamics', 2), ('Nuclear physics', 2)]"
100359,"[('Antimatter', 2), ('Universe', 2)]"
100374,"[('Quantum field theory', 3), ('Fermi liquid', 1)]"
100383,"[('Cosmic inflation', 1), ('Electromagnetic radiation', 1)]"
100399,"[('Atom', 3), ('Atomic, molecular, and optical physics', 2)]"
100401,physics
100410,"[('Atom', 1), ('Electromagnetic radiation', 1)]"
100414,"[('General relativity', 2), ('Cosmic string', 2)]"
100420,"[('Polarization (waves)', 3), ('Bose-Einstein condensate', 2)]"
100421,"[('General relativity', 2), ('Polarization (waves)', 2)]"
100442,"[('Self-organization', 1), ('Superstring theory', 1)]"
100486,"[('Polarization (waves)', 2), ('Gauge theory', 2)]"
100493,"[('Atom', 1), ('Cosmic inflation', 1)]"
100497,"[('Optics', 1), ('Astrometry', 1)]"
100498,physics
100499,"[('Polymer physics', 2), ('Optics', 1)]"
10050,physics
100513,"[('Antimatter', 3), ('Elementary particle', 3)]"
100517,"[('Quantum chromodynamics', 2), ('Black hole', 2)]"
100521,"[('Fermi liquid', 1), ('Diffraction', 1)]"
100529,"[('Quantum chromodynamics', 2), ('Universe', 2)]"
100537,"[('Antimatter', 2), ('Photon', 2)]"
100564,"[('superconductor', 1), ('Casimir effect', 1)]"
100578,"[('Supersymmetry', 3), ('Elementary particle', 3)]"
100583,"[('Astrometry', 2), ('Star', 2)]"
100589,"[('General relativity', 1), ('Quantum gravity', 1)]"
100604,"[('Quantum chromodynamics', 2), ('Universe', 2)]"
100624,"[('Cosmic inflation', 2), ('Gravitational radiation', 2)]"
10063,physics
100639,"[('General relativity', 1), ('Universe', 1)]"
100651,"[('Big Bang', 2), ('Standard Model', 1)]"
100669,"[('Accelerator physics', 1), ('superconductor', 1)]"
100704,"[('Neutrino oscillation', 1), ('Spontaneous symmetry breaking', 1)]"
100706,"[('Atom', 6), ('Nuclear physics', 4)]"
100710,"[('Lambda-CDM model', 2), ('Dark matter', 2)]"
100715,"[('Cosmic inflation', 2), ('Dark matter', 2)]"
100731,"[('Electromagnetic radiation', 2), ('electromagnetic', 2)]"
100734,"[('Antimatter', 2), ('Solar System', 2)]"
100737,"[('Quantum chromodynamics', 3), ('Quantum field theory', 3)]"
10075,physics
100758,physics
100763,"[('Neutrino oscillation', 1), ('Bloch wave', 1)]"
100782,physics
100795,"[('Nuclear physics', 2), ('Bose-Einstein condensate', 2)]"
100805,"[('Chemical physics', 1), ('Chemical Physics', 1)]"
100820,physics
